,Domestic,HK_MO,International,Total,YoY_Growth(%)
53,2385.8,2.7,9.1,2397.6,1.8495364868077013
52,4768.4,4.6,13.8,4786.8,2.1543986820428334
51,5095.9,5.1,13.6,5114.6,2.0587883499790687
50,5091.0,8.1,13.0,5112.1,0.9783668730650157
49,4115.5,7.9,12.1,4135.5,0.3447031280483839
48,4898.5,8.1,13.2,4919.8,0.2576175869120654
47,2226.8,3.3,13.8,2243.9000000000005,-0.5141496156760852
46,3599.3,4.2,12.3,3615.8,-0.2461429405387373
45,3875.3,3.0,10.8,3889.1000000000004,-0.22764825038725822
44,2141.9,3.4,10.4,2155.7000000000003,-0.5148862434457772
43,2698.0,5.1,11.5,2714.6,-0.3590839334199032
42,2942.1,6.4,9.2,2957.7,-0.021180130390177743
41,3121.2,6.9,8.2,3136.2999999999997,0.3080997664330998
40,1527.0,2.3,10.0,1539.3,-0.6784281774880923
39,778.7,0.6,9.3,788.6,-0.8458139443944785
38,1197.3,0.6,10.0,1207.8999999999999,-0.7637174546663799
37,2188.6,1.0,11.7,2201.2999999999997,-0.46770644420263574
36,3384.9,2.1,14.6,3401.6,-0.3085897800723607
35,3212.5,3.0,17.8,3233.3,0.44092874013993466
34,1988.7,4.2,21.2,2014.1000000000001,-0.44297250954145695
33,1572.3,4.8,20.1,1597.1999999999998,-0.5893137229693246
32,1234.0,5.9,23.2,1263.1000000000001,-0.414065036878972
31,1840.6,9.2,30.8,1880.6,-0.30722758417446405
30,3933.2,20.1,44.2,3997.4999999999995,0.3515569530378333
29,4249.5,26.4,70.6,4346.5,0.3858686987851929
28,4461.1,41.0,109.4,4611.5,1.9958422659650492
27,4865.3,51.7,162.2,5079.2,5.440781131118437
26,4972.3,55.7,197.6,5225.6,3.326185942544914
25,5058.7,61.1,252.9,5372.7,1.4406941352836964
24,5907.5,71.9,335.3,6314.7,0.8563911100658514
23,6031.9,75.4,364.5,6471.799999999999,1.0016082640027215
22,5024.6,58.7,324.3,5407.6,1.6848716548334242
21,5275.6,67.4,329.6,5672.6,2.5515902829952424
