month,Domestic,HK_MO,International,,,,,,,,,
201408,3410.5,89,319.7,,,,,,,,,
201407,3292.9,88.5,286.8,,,,,,,,,
201406,2824.1,82.8,236.6,,,,,,,,,
201405,2896.4,82.6,237.9,,,,,,,,,
201404,2896.1,85.8,245.4,,,,,,,,,
201403,2793.1,79.9,231.6,,,,,,,,,
201402,2876.5,82.7,232.1,,,,,,,,,
201401,2828.9,78.3,228.6,,,,,,,,,
201311,2639.6,73.8,211.9,,,,,,,,,
201310,2941.4,72.8,223.4,,,,,,,,,
201309,2806.6,74.4,241.9,,,,,,,,,
201308,3204.3,83.3,271.4,,,,,,,,,
201307,3019.2,80.3,247.3,,,,,,,,,
201306,2650.0,73.5,215.4,,,,,,,,,
201305,2651.0,70.2,204.3,,,,,,,,,
201304,2634.4,77.8,214.8,,,,,,,,,
201303,2669.2,73.9,209.2,,,,,,,,,
201302,2582,76.6,205.4,,,,,,,,,
201301,2376.7,66.5,190.3,,,,,,,,,
